OBJECTID,LM_ID,LM_NAME,CATEGORY,LM_TYPE,SDA_CAT,STR_ADDR,UNIT,MUN,PR,POSTAL,PHONE,WEBSITE,Type,ExtDay,WARDNUM,ROPADRID,x,y
194,CC-PLP-087,Morton Way (PLASP),Social Services,Child Care (PLASP),Child Care Centre,200 Morton Way,,Brampton,ON,L6Y 2P8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0760,School-Based Centre,Yes,4,252624,-8877845.59793528,5412406.10264418
195,CC-PLP-088,Mount Pleasant Village (PLASP),Social Services,Child Care (PLASP),Child Care Centre,100 Commuter Dr,,Brampton,ON,L7A 0P7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1013,School-Based Centre,Yes,6,337866,-8885969.13541613,5415594.99268887
196,CC-PLP-089,Mount Royal (PLASP),Social Services,Child Care (PLASP),Child Care Centre,65 Mount Royal Cir,,Brampton,ON,L6P 2K4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0793,School-Based Centre,No,10,291700,-8877565.99287341,5433035.1276868
197,CC-FDC-014,Nahani Way (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,235 Nahani Way,,Mississauga,ON,L4Z 3J6,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0507,School-Based Centre,Yes,5,,-8866697.2551709,5406024.1330645
198,CC-OTH-165,New Playland Nursery,Social Services,Child Care (Other),Child Care Centre,28 Elm Dr W,,Mississauga,ON,L5B 1L9,905-276-8802,https://peelchildcare.cioc.ca/record/CDR0454,Community-Based For-Profit Centre,No,7,289794,-8864566.41810833,5402202.26499271
199,CC-OTH-166,New Steps 2 - Brampton (St. Augustine),Social Services,Child Care (Other),Child Care Centre,27 Drinkwater Rd,,Brampton,ON,L6Y 4T6,905-451-4140,https://peelchildcare.cioc.ca/record/CDR0412,School-Based Centre,No,4,298901,-8879384.10065139,5412687.26943356
200,CC-OTH-168,Northstar Montessori,Social Services,Child Care (Other),Child Care Centre,4900 Tomken Rd,,Mississauga,ON,L4W 1J8,905-890-7827,https://peelchildcare.cioc.ca/record/CDR0514,Community-Based For-Profit Centre,No,3,233771,-8864527.96607344,5407531.87316763
201,CC-PLP-091,Northwood (PLASP),Social Services,Child Care (PLASP),Child Care Centre,70 Gretna Dr,,Brampton,ON,L6X 2E9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0761,School-Based Centre,Yes,5,215113,-8880522.67771938,5415267.59053007
202,CC-OTH-169,Olive Grove Preschool and Childcare,Social Services,Child Care (Other),Child Care Centre,2300 Speakman Dr,,Mississauga,ON,L5K 1B4,905-855-8557,https://peelchildcare.cioc.ca/record/CDR0495,Community-Based Non-Profit Centre,No,2,,-8867473.52292958,5391473.27571056
203,CC-PLP-092,Oscar Peterson (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5120 Perennial Dr,,Mississauga,ON,L5M 7T9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0720,School-Based Centre,Yes,10,312501,-8875177.06712315,5395310.56173548
204,CC-PLP-093,Osprey Woods (PLASP),Social Services,Child Care (PLASP),Child Care Centre,6135 Lisgar Dr,,Mississauga,ON,L5N 7V2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0731,School-Based Centre,Yes,10,275452,-8879231.42849681,5397988.56850422
205,CC-PLP-094,Our Lady of Fatima (PLASP),Social Services,Child Care (PLASP),Child Care Centre,39 Sunset Blvd,,Brampton,ON,L6X 1X1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0765,School-Based Centre,No,1,162251,-8880833.31867356,5417329.93901311
206,CC-YMC-049,Our Lady of Good Voyage (YMCA),Social Services,Child Care (YMCA),Child Care Centre,5850 River Grove Ave,,Mississauga,ON,L5M 4W2,905-858-0052,https://peelchildcare.cioc.ca/record/CDR0508,School-Based Centre,Yes,6,10279,-8873427.17057607,5402472.84873423
207,CC-YMC-050,Our Lady of Lourdes (YMCA),Social Services,Child Care (YMCA),Child Care Centre,25 Mount Royal Cir,,Brampton,ON,L6P 1Y7,647-963-9716,https://peelchildcare.cioc.ca/record/CDR1027,School-Based Centre,Yes,10,289833,-8877449.00907765,5433243.03269946
208,CC-PLP-095,Our Lady of Mercy (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5820 Glen Erin Dr,,Mississauga,ON,L5N 5J9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0700,School-Based Centre,Yes,9,275096,-8875879.66756552,5399072.49476086
209,CC-YMC-051,Our Lady of Peace (YMCA),Social Services,Child Care (YMCA),Child Care Centre,15 Fincham Ave,,Brampton,ON,L6X 3V2,905-455-6445,https://peelchildcare.cioc.ca/record/CDR0419,School-Based Centre,Yes,5,,-8881655.98196229,5415156.33846073
210,CC-FDC-016,Our Lady of Providence (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,35 Black Oak Dr,,Brampton,ON,L6R 1B9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0386,School-Based Centre,Yes,9,308240,-8878866.29059136,5425923.49374028
211,CC-PLP-096,Owenwood (PLASP),Social Services,Child Care (PLASP),Child Care Centre,930 Owenwood Dr,,Mississauga,ON,L5H 3J2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0663,School-Based Centre,Yes,2,43149,-8862137.3018233,5392351.15740016
212,CC-PLP-097,Parkway (PLASP),Social Services,Child Care (PLASP),Child Care Centre,24 Duncan Bull Dr,,Brampton,ON,L6W 1H4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0763,School-Based Centre,Yes,3,139628,-8876462.61185557,5415542.96309099
213,CC-OTH-171,Pathway Childcare Centre Inc.,Social Services,Child Care (Other),Child Care Centre,25 Ruth Ave,,Brampton,ON,L6Z 3X3,905-846-3939,https://peelchildcare.cioc.ca/record/CDR0420,Community-Based Non-Profit Centre,No,2,186405,-8881924.36678169,5422551.59639807
214,CC-PLP-098b,Pauline Vanier Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,56 Oaklea Blvd,,Brampton,ON,L4Z 3E9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0929,School-Based Centre,No,4,,-8876016.90132249,5410947.51935596
215,CC-OTH-025,BrightPath - Avondale,Social Services,Child Care (Other),Child Care Centre,55 Avondale Blvd,,Brampton,ON,L6W 2C4,905-799-2212,https://peelchildcare.cioc.ca/record/CDR0391,Community-Based For-Profit Centre,No,7,281244,-8872100.48455839,5420115.43678476
216,CC-OTH-028,BrightPath - Dixie,Social Services,Child Care (Other),Child Care Centre,4560 Dixie Rd,,Mississauga,ON,L4W 1N2,905-629-8849,https://peelchildcare.cioc.ca/record/CDR0413,Community-Based For-Profit Centre,No,3,274117,-8863019.01390666,5408823.12518515
217,CC-OTH-029,BrightPath - Matheson East,Social Services,Child Care (Other),Child Care Centre,309 Matheson Blvd E,,Mississauga,ON,L5C 3N6,905-507-9796,https://peelchildcare.cioc.ca/record/CDR0509,Community-Based For-Profit Centre,No,5,142821,-8867642.85632751,5407182.68562883
218,CC-OTH-031,BrightPath - Mill St.,Social Services,Child Care (Other),Child Care Centre,224 Mill St S,,Brampton,ON,L6Y 1T8,905-456-1798,https://peelchildcare.cioc.ca/record/CDR0410,Community-Based For-Profit Centre,No,3,52547,-8877344.95529394,5415126.35232802
219,CC-OTH-033,BrightPath - Queen,Social Services,Child Care (Other),Child Care Centre,685 Queen St W,,Brampton,ON,L6V 1A1,905-456-2273,https://peelchildcare.cioc.ca/record/CDR0429,Community-Based For-Profit Centre,No,4,167178,-8880579.23908956,5414628.90738318
220,CC-OTH-034,BrightPath - Sandalwood,Social Services,Child Care (Other),Child Care Centre,170 Sandalwood Pky E,11,Brampton,ON,L6Z 1Y5,905-846-4656,https://peelchildcare.cioc.ca/record/CDR0423,Community-Based For-Profit Centre,No,2,293972,-8883104.77408536,5423256.25934483
221,CC-OTH-035,BrightPath - Torquay Mews,Social Services,Child Care (Other),Child Care Centre,2172 Torquay Mews,,Mississauga,ON,L5N 2M6,905-542-2835,https://peelchildcare.cioc.ca/record/CDR0595,Community-Based For-Profit Centre,No,9,97409,-8876899.52893721,5403034.76986068
222,CC-OTH-036,BrightPath - Traders,Social Services,Child Care (Other),Child Care Centre,220 Traders Blvd E,,Mississauga,ON,L4Z 1W7,905-712-2273,https://peelchildcare.cioc.ca/record/CDR0549,Community-Based For-Profit Centre,No,5,14935,-8868738.3013599,5407906.57452212
223,CC-OTH-037,BrightPath - Wolfedale,Social Services,Child Care (Other),Child Care Centre,3221 Wolfedale Rd,,Mississauga,ON,L5C 1V8,905-615-9991,https://peelchildcare.cioc.ca/record/CDR0468,Community-Based For-Profit Centre,No,6,96904,-8865675.24126188,5398801.22810936
224,CC-FDC-017,Philip Pocock (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,4555 Tomken Rd,,Mississauga,ON,L4W 1J9,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0442,School-Based Centre,No,3,289375,-8863946.28632433,5407605.62461552
225,CC-OTH-225,Western Heights Montessori Academy (Millcreek),Social Services,Child Care (Other),Child Care Centre,6920 Millcreek Dr,4,Mississauga,ON,L5N 6C1,905-858-5845,https://peelchildcare.cioc.ca/record/CDR0527,Community-Based For-Profit Centre,Yes,9,240997,-8878353.93524111,5402933.71348608
226,CC-PLP-099,Plowman's Park (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5940 Montevideo Rd,,Mississauga,ON,L5N 3J5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0725,School-Based Centre,Yes,9,111690,-8877495.33556091,5400957.95329667
227,CC-PLP-100b,Plum Tree Park Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,6855 Tenth Line W,,Mississauga,ON,L5N 5R2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0530,School-Based Centre,No,9,,-8880102.81136606,5400878.89927739
228,CC-OTH-178,Preschool Petit Bateau (Rene Lamoureux),Social Services,Child Care (French),Child Care Centre,385 Meadows Blvd,,Mississauga,ON,L5N 1R3,905-279-1414,https://peelchildcare.cioc.ca/record/CDR0533,School-Based Centre,Yes,4,,-8864328.2350796,5404708.48030964
229,CC-OTH-176,Preschool Petit Bateau - Brampton (Sainte Jeanne d'Arc),Social Services,Child Care (French),Child Care Centre,25 Laurelcrest St,,Brampton,ON,L6S 4C4,905-455-3338,https://peelchildcare.cioc.ca/record/CDR0326,School-Based Centre,Yes,7,,-8876231.84498809,5420764.47246045
230,CC-OTH-177,Preschool Petit Bateau - Mississauga (Ange Gabriel),Social Services,Child Care (French),Child Care Centre,1830 Meadowvale Blvd,,Mississauga,ON,L5N 7H5,905-285-0257,https://peelchildcare.cioc.ca/record/CDR0337,School-Based Centre,Yes,11,,-8877665.55265992,5405955.24647394
231,CC-OTH-180,Prince Edward Montessori School,Social Services,Child Care (Other),Child Care Centre,12 Peter St S,,Mississauga,ON,L5H 0A1,905-891-6912,https://peelchildcare.cioc.ca/record/CDR0575,Community-Based For-Profit Centre,No,1,342754,-8859747.80381925,5395772.75286572
232,CC-OTH-038,BrightPath Professor's Lake Campus,Social Services,Child Care (Other),Child Care Centre,2 Philosopher's Trail,10,Brampton,ON,L6S 5L7,905-792-7593,https://peelchildcare.cioc.ca/record/CDR0388,Community-Based For-Profit Centre,No,8,315913,-8876417.85464915,5426812.75802002
233,CC-YMC-053,Queen of Heaven (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1198 Alexandra Ave,,Mississauga,ON,L5E 2A5,647-299-5014,https://peelchildcare.cioc.ca/record/CDR0833,School-Based Centre,Yes,1,232881,-8857336.85899034,5400403.18942717
234,CC-PLP-102,Queen Street (PLASP),Social Services,Child Care (PLASP),Child Care Centre,20 Academic Dr,,Brampton,ON,L6Y 2C7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0833,School-Based Centre,Yes,4,390697,-8880235.68258461,5414617.54117122
235,CC-PLP-103,Queenston Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3520 Queenston Dr,,Mississauga,ON,L5C 2G6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0653,School-Based Centre,Yes,6,130299,-8867950.99408918,5397868.57057406
236,CC-OTH-182,Rainbow Academy Learning and Child Care,Social Services,Child Care (Other),Child Care Centre,18 King St E,"N1,2,4",Caledon,ON,L7E 1E8,905-857-3544,https://peelchildcare.cioc.ca/record/CAL0018,Community-Based For-Profit Centre,No,5,398504,-8876310.45880225,5446857.22808932
237,CC-OTH-183,Rainbow Academy Preschool House,Social Services,Child Care (Other),Child Care Centre,18 King St E,O1,Caledon,ON,L7E 1E8,905-857-3544,https://peelchildcare.cioc.ca/record/CAL0018,Community-Based For-Profit Centre,No,5,400163,-8876330.27369701,5446858.77249371
238,CC-OTH-184,Rainbow Village Day Care,Social Services,Child Care (Other),Child Care Centre,7314 Goreway Dr,,Mississauga,ON,L4T 2V1,905-677-3070,https://peelchildcare.cioc.ca/record/CDR0592,Community-Based For-Profit Centre,No,5,16184,-8865526.77234409,5422106.63399881
239,CC-PLP-104,Ray Underhill (PLASP),Social Services,Child Care (PLASP),Child Care Centre,32 Suburban Dr,,Mississauga,ON,L5N 1G6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0722,School-Based Centre,Yes,11,8317,-8874657.93055495,5402770.69774487
240,CC-PLP-105,Red Willow (PLASP),Social Services,Child Care (PLASP),Child Care Centre,80 Redwillow Rd,,Brampton,ON,L6P 2B1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0795,School-Based Centre,Yes,8,265688,-8872309.76999385,5430449.33327847
241,CC-PLP-106,Ridgeview (PLASP),Social Services,Child Care (PLASP),Child Care Centre,25 Brenda Ave,,Brampton,ON,L6Y 2A1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0766,School-Based Centre,Yes,3,145787,-8878435.09861518,5414904.8059387
242,CC-OTH-130,Little Bright Stars,Social Services,Child Care (Other),Child Care Centre,2575 Dundas St W,18,Mississauga,ON,L5K 2M6,905-569-2267,https://peelchildcare.cioc.ca/record/CDR0465,Community-Based For-Profit Centre,No,8,,-8869951.83648397,5392322.60007128
243,CC-YMC-045,Mississauga Ridgeway (YMCA),Social Services,Child Care (YMCA),Child Care Centre,3595 Ridgeway Dr,,Mississauga,ON,L5L 5T4,905-607-0518,https://peelchildcare.cioc.ca/record/CDR0470,Community-Based Non-Profit Centre,No,8,281962,-8872856.06116997,5392135.08077989
244,CC-PLP-107,Ridgewood (PLASP),Social Services,Child Care (PLASP),Child Care Centre,7207 Cambrett Dr,,Mississauga,ON,L4T 2R3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1039,School-Based Centre,Yes,5,22523,-8865551.55624719,5421474.38274849
245,CC-OTH-039,BrightPath Queen Campus,Social Services,Child Care (Other),Child Care Centre,255 Queen St E,5,Brampton,ON,L6W 2B8,905-799-0782,https://peelchildcare.cioc.ca/record/CDR0399,Community-Based For-Profit Centre,No,3,281926,-8876984.28110165,5419024.71478691
246,CC-OTH-040,BrightPath Van Kirk Campus,Social Services,Child Care (Other),Child Care Centre,35 Van Kirk Dr ,"19,20A",Brampton,ON,L7A 1A5,905-456-7339,https://peelchildcare.cioc.ca/record/CDR0854,Community-Based For-Profit Centre,No,2,299628,-8882975.48557419,5419310.20449994
247,CC-PLP-108,Riverside (PLASP),Social Services,Child Care (PLASP),Child Care Centre,30 John St N,,Mississauga,ON,L5H 2E8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0841,School-Based Centre,Yes,1,44802,-8859941.49240287,5396100.94158168
248,CC-PLP-109,Roberta Bondar (PLASP),Social Services,Child Care (PLASP),Child Care Centre,30 Pantomine Blvd,,Brampton,ON,L6Y 5N2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0781,School-Based Centre,Yes,6,280013,-8878298.88787353,5410039.27761344
249,CC-PLP-110,Rowntree (PLASP),Social Services,Child Care (PLASP),Child Care Centre,254 Queen Mary Dr,,Brampton,ON,L7A 3L6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0780,School-Based Centre,Yes,6,227169,-8885430.88036068,5420165.33014651
250,CC-OTH-188,Royal Montessori School,Social Services,Child Care (Other),Child Care Centre,2500 Mimosa Row,,Mississauga,ON,L5B 1P7,905-275-5887,https://peelchildcare.cioc.ca/record/CDR0484,Community-Based For-Profit Centre,No,7,126231,-8862646.81519764,5400159.86441045
251,CC-OTH-189,Royal Windsor Montessori and Daycare,Social Services,Child Care (Other),Child Care Centre,2157 Royal Windsor Dr,,Mississauga,ON,L5J 1K5,905-822-7575,https://peelchildcare.cioc.ca/record/CDR0574,Community-Based For-Profit Centre,No,2,,-8864776.27755163,5389810.25294919
252,CC-YMC-054,Russell Barber (YMCA),Social Services,Child Care (YMCA),Child Care Centre,255 North Park Dr,,Brampton,ON,L6S 6A5,905-457-1383,https://peelchildcare.cioc.ca/record/CDR0389,School-Based Centre,Yes,7,,-8877849.87631986,5422806.15776045
253,CC-OTH-191,Salvation Army - Erin Mills,Social Services,Child Care (Other),Child Care Centre,2460 The Collegeway,,Mississauga,ON,L5L 1V3,905-820-6500,https://peelchildcare.cioc.ca/record/CDR0477,Community-Based Non-Profit Centre,No,8,,-8870579.53386249,5393908.08552733
254,CC-OTH-192,Salvation Army - Mississauga Temple,Social Services,Child Care (Other),Child Care Centre,3173 Cawthra Rd,,Mississauga,ON,L5A 2X4,905-275-8430,https://peelchildcare.cioc.ca/record/CDR0455,Community-Based Non-Profit Centre,No,3,257266,-8861495.34048298,5403527.15719839
255,CC-OTH-193,Salvation Army - Noah's Ark,Social Services,Child Care (Other),Child Care Centre,9395 Bramalea Rd,,Brampton,ON,L6S 4B7,905-793-5610,https://peelchildcare.cioc.ca/record/CDR0385,Community-Based Non-Profit Centre,No,8,,-8875292.27699916,5424283.90198963
256,CC-PLP-111,San Lorenzo Ruiz (PLASP),Social Services,Child Care (PLASP),Child Care Centre,100 Barondale Dr,,Mississauga,ON,L4Z 3R1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0710,School-Based Centre,Yes,5,240542,-8868121.45648797,5406518.68132343
257,CC-PLP-112,Sawmill Valley (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3625 Sawmill Valley Dr,,Mississauga,ON,L5L 2Z5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0654,School-Based Centre,Yes,8,26897,-8869925.7704695,5396319.52684442
258,CC-PLP-113,Settler's Green (PLASP),Social Services,Child Care (PLASP),Child Care Centre,5800 Montevideo Rd,,Mississauga,ON,L5N 2S1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0727,School-Based Centre,Yes,9,17302,-8877813.54003045,5400409.44214449
259,CC-OTH-205,Springdale Learning Centre (Shaw Public School),Social Services,Child Care (Other),Child Care Centre,10 Father Tobin Rd,,Brampton,ON,L6R 3K2,905-790-6958,https://peelchildcare.cioc.ca/record/CDR0848,School-Based Centre,Yes,10,279023,-8877894.99573613,5430728.7844735
260,CC-PLP-114,Shelter Bay (PLASP),Social Services,Child Care (PLASP),Child Care Centre,6735 Shelter Bay Rd,,Mississauga,ON,L5N 2C5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0728,School-Based Centre,Yes,9,8849,-8879179.93141012,5401753.56077597
261,CC-OTH-194,Shepherd Montessori Private Catholic School,Social Services,Child Care (Other),Child Care Centre,2246 Camilla Rd,,Mississauga,ON,L5A 2J6,905-270-0011,https://peelchildcare.cioc.ca/record/CDR0490,Community-Based For-Profit Centre,No,7,46928,-8861286.15532505,5400127.09250061
262,CC-PLP-115,Sheridan Park (PLASP),Social Services,Child Care (PLASP),Child Care Centre,2280 Perran Dr,,Mississauga,ON,L5K 1M1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0655,School-Based Centre,Yes,2,219537,-8868370.86488594,5393003.06526886
263,CC-PLP-116,Sherwood Mills (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1385 Sherwood Mills Blvd,,Mississauga,ON,L5V 2B8,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0712,School-Based Centre,Yes,6,296618,-8870489.49429996,5401107.82452698
264,CC-OTH-195,Shining Stars Montessori School,Social Services,Child Care (Other),Child Care Centre,811 Bovaird Dr W,16,Brampton,ON,L6X 0T9,905-454-2273,https://peelchildcare.cioc.ca/record/CDR0401,Community-Based For-Profit Centre,No,5,335283,-8883825.23998135,5417254.30802161
265,CC-PLP-117,Silver Creek (PLASP),Social Services,Child Care (PLASP),Child Care Centre,460 Silver Creek Blvd,,Mississauga,ON,L5A 2B3,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0920,School-Based Centre,Yes,4,85535,-8862138.24170627,5402683.81388513
266,CC-PLP-118,Silverthorn (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3535 Cedar Creek Dr,,Mississauga,ON,L4Y 2Y4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0692,School-Based Centre,Yes,3,22765,-8862395.49029256,5404797.19530049
267,CC-YMC-055,Sir Winston Churchill (YMCA),Social Services,Child Care (YMCA),Child Care Centre,89 Ardglen Dr,,Brampton,ON,L6W 1V1,905-943-9622 ext 750,https://peelchildcare.cioc.ca/record/CDR1093,School-Based Centre,Yes,3,158392,-8877597.04625222,5417445.72803938
268,CC-OTH-198,Small Wunders Child Care,Social Services,Child Care (Other),Child Care Centre,1150 Eglinton Ave E,,Mississauga,ON,L4W 2M6,905-290-0547,https://peelchildcare.cioc.ca/record/CDR0512,Community-Based For-Profit Centre,No,3,,-8863865.28663778,5408438.48079004
269,CC-PLP-119,Somerset Drive (PLASP),Social Services,Child Care (PLASP),Child Care Centre,50 Somerset Dr,,Brampton,ON,L6Z 1C7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0768,School-Based Centre,Yes,2,266296,-8883664.52871629,5423592.37127642
270,CC-OTH-203,Songbirds Montessori School Inc.,Social Services,Child Care (Other),Child Care Centre,49 Wellington St,,Brampton,ON,L6V 1K8,905-451-7757,https://peelchildcare.cioc.ca/record/CDR0400,Community-Based For-Profit Centre,No,3,147052,-8878974.4523645,5416316.34641026
271,CC-PLP-121,Springdale (PLASP),Social Services,Child Care (PLASP),Child Care Centre,100 Dewside Dr,,Brampton,ON,L6T 2C9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0774,School-Based Centre,Yes,9,245269,-8879571.16919378,5427396.83717774
272,CC-OTH-204,Springdale Learning Centre (Robert J. Lee Public School),Social Services,Child Care (Other),Child Care Centre,160 Mountainash Rd,,Brampton,ON,L6R 1J1,905-790-6958,https://peelchildcare.cioc.ca/record/CDR0843,School-Based Centre,Yes,10,75696,-8876084.53463099,5428978.76199765
273,CC-PLP-122,Springfield (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3251 The Credit Woodlands,,Mississauga,ON,L5C 2J7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0857,School-Based Centre,Yes,6,312924,-8867064.66394056,5397155.94148882
274,CC-PLP-123b,St. Agnes Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,103 Richvale Dr S,,Brampton,ON,L6Z 1C6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0435,School-Based Centre,No,2,,-8881147.57897258,5422966.21772439
275,CC-YMC-056,St. Aidan (YMCA),Social Services,Child Care (YMCA),Child Care Centre,34 Buick Blvd,,Brampton,ON,L7A 3B9,647-448-9400,https://peelchildcare.cioc.ca/record/CDR0734,School-Based Centre,Yes,6,305373,-8887447.52478906,5418590.71026282
276,CC-PLP-124,St. Albert of Jerusalem (PLASP),Social Services,Child Care (PLASP),Child Care Centre,7185 Rosehurst Dr,,Mississauga,ON,L5N 7G6,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0729,School-Based Centre,Yes,10,270757,-8882085.27213553,5400766.98605002
277,CC-PLP-125,St. Alfred (PLASP),Social Services,Child Care (PLASP),Child Care Centre,3341 Havenwood Dr,,Mississauga,ON,L4X 2M2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0693,School-Based Centre,Yes,3,25988,-8859914.57247914,5406658.34854494
278,CC-YMC-057,St. Angela Merici (YMCA),Social Services,Child Care (YMCA),Child Care Centre,83 Edenbrook Hill Dr,,Brampton,ON,L7A 2N7,416-358-2334,https://peelchildcare.cioc.ca/record/CDR0733,School-Based Centre,No,6,268347,-8884473.88124494,5418456.16832364
279,CC-PLP-128,St. Anne (PLASP),Social Services,Child Care (PLASP),Child Care Centre,124 Vodden St E,,Brampton,ON,L6V 1M5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR1046,School-Based Centre,No,1,172140,-8879233.0127579,5419070.99738156
280,CC-PLP-129,St. Anthony (PLASP),Social Services,Child Care (PLASP),Child Care Centre,950 North Park Dr,,Brampton,ON,L4Z 3E9,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0723,School-Based Centre,Yes,7,65849,-8876862.18090543,5424726.72631646
281,CC-PLP-130b,St. Barbara Early Learning Centre (PLASP),Social Services,Child Care (PLASP),Child Care Centre,1455 Samuelson Cir,,Mississauga,ON,L5N 7Z2,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0564,School-Based Centre,No,11,,-8877305.4821107,5407459.70175293
282,CC-PLP-131,St. Basil (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4235 Golden Orchard Dr,,Mississauga,ON,L4W 3G1,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0670,School-Based Centre,Yes,3,24324,-8862475.36545564,5407368.16933217
283,CC-FDC-022,St. Bernadette Child Care Centre (Family Day Care),Social Services,Child Care (Family Day),Child Care Centre,1060 White Clover Way,,Mississauga,ON,L5V 1G7,416-922-3434,https://peelchildcare.cioc.ca/record/CDR0502,School-Based Centre,No,6,,-8869207.26033823,5400951.40932703
284,CC-YMC-058,St. Bernard of Clairvaux (YMCA),Social Services,Child Care (YMCA),Child Care Centre,3345 Escada Dr,,Mississauga,ON,L5M 7V5,647-267-2400,https://peelchildcare.cioc.ca/record/CDR0914,School-Based Centre,Yes,10,308546,-8876118.82982733,5395702.73723126
285,CC-PLP-132,St. Bonaventure (PLASP),Social Services,Child Care (PLASP),Child Care Centre,35 McCrimmon Dr,,Brampton,ON,L7A 2Z5,1-888-739-4102,https://peelchildcare.cioc.ca/record/CDR0782,School-Based Centre,Yes,6,279022,-8886546.13881896,5417165.04510022
286,CC-PLP-133,St. Brigid (PLASP),Social Services,Child Care (PLASP),Child Care Centre,81 Torrance Woods,,Brampton,ON,L6Y 2X4,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0918,School-Based Centre,Yes,4,170458,-8878807.27328489,5412733.05739933
287,CC-YMC-059,St. Catherine of Siena (YMCA),Social Services,Child Care (YMCA),Child Care Centre,2350 Hurontario St,,Mississauga,ON,L5B 1N1,647-924-0240,https://peelchildcare.cioc.ca/record/CDR0865,School-Based Centre,Yes,7,199173,-8862247.52535336,5399758.82622562
288,CC-PLP-134,St. Cecilia (PLASP),Social Services,Child Care (PLASP),Child Care Centre,10 Brickyard Way,,Brampton,ON,L6V 4L5,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0746?Number=191,School-Based Centre,Yes,1,297576,-8881175.45359707,5419818.53568746
289,CC-PLP-135,St. Charles Garnier (PLASP),Social Services,Child Care (PLASP),Child Care Centre,4233 Central Pky E,,Mississauga,ON,L4Z 1M7,905-890-1711,https://peelchildcare.cioc.ca/record/CDR0671,School-Based Centre,Yes,4,240443,-8864617.97490618,5404615.93140764
290,CC-YMC-060,St. Christopher (YMCA),Social Services,Child Care (YMCA),Child Care Centre,1195 Clarkson Rd N,,Mississauga,ON,L5J 2W1,647-203-3900,https://peelchildcare.cioc.ca/record/CDR0664,School-Based Centre,Yes,2,337579,-8864016.22061805,5391780.07274229
